<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.03.25	12:00:00	1317.800	1322.935	1317.701	1321.491	12485	0	220
2019.03.25	16:00:00	1321.458	1324.425	1320.211	1322.239	11371	0	219
2019.03.25	20:00:00	1322.200	1323.193	1321.171	1321.287	3755	0	220
2019.03.26	00:00:00	1321.300	1322.142	1319.920	1320.419	7234	0	244
2019.03.26	04:00:00	1320.421	1320.541	1315.744	1315.744	8421	0	241
2019.03.26	08:00:00	1315.745	1317.638	1312.681	1313.623	10752	0	239
2019.03.26	12:00:00	1313.623	1318.719	1312.839	1314.626	12778	0	237
2019.03.26	16:00:00	1314.669	1317.235	1313.347	1315.709	10639	0	236
2019.03.26	20:00:00	1315.756	1317.244	1315.098	1316.399	3549	0	239
2019.03.27	00:00:00	1316.408	1318.435	1316.015	1316.315	7754	0	243
2019.03.27	04:00:00	1316.316	1317.163	1312.816	1313.898	8535	0	242
2019.03.27	08:00:00	1313.864	1319.235	1313.841	1317.313	10987	0	241
2019.03.27	12:00:00	1317.278	1317.801	1308.807	1311.496	13879	0	237
2019.03.27	16:00:00	1311.528	1312.466	1308.129	1309.097	11523	0	234
2019.03.27	20:00:00	1309.146	1310.185	1308.798	1309.363	3591	0	237
2019.03.28	00:00:00	1309.360	1310.988	1307.269	1309.808	7652	0	232
2019.03.28	04:00:00	1309.809	1312.260	1308.981	1309.040	7631	0	232
2019.03.28	08:00:00	1309.047	1309.831	1302.374	1303.195	11063	0	231
2019.03.28	12:00:00	1303.196	1305.971	1290.569	1292.202	14827	0	225
2019.03.28	16:00:00	1292.248	1292.496	1288.539	1290.561	11011	0	222
2019.03.28	20:00:00	1290.605	1291.543	1289.983	1291.520	3623	0	226
2019.03.29	00:00:00	1291.526	1292.627	1288.739	1289.305	7700	0	223
2019.03.29	04:00:00	1289.305	1290.454	1286.575	1287.987	8357	0	223
2019.03.29	08:00:00	1288.036	1293.690	1287.051	1293.182	11110	0	220
2019.03.29	12:00:00	1293.178	1299.724	1293.178	1295.469	14237	0	217
2019.03.29	16:00:00	1295.452	1296.239	1291.993	1292.104	10370	0	217
2019.03.29	20:00:00	1292.106	1292.578	1291.914	1292.057	1089	0	217
2019.03.31	20:00:00	1292.237	1293.188	1291.446	1291.714	2637	0	222
2019.04.01	00:00:00	1291.725	1293.732	1290.276	1293.304	7508	0	238
2019.04.01	04:00:00	1293.299	1293.796	1288.186	1289.638	8420	0	235
2019.04.01	08:00:00	1289.641	1292.064	1289.179	1289.975	10041	0	234
2019.04.01	12:00:00	1289.965	1296.942	1289.726	1290.788	13549	0	233
2019.04.01	16:00:00	1290.800	1291.141	1286.588	1287.105	10085	0	232
2019.04.01	20:00:00	1287.147	1288.159	1286.498	1287.363	3524	0	232
2019.04.02	00:00:00	1287.366	1289.147	1286.231	1287.301	6562	0	230
2019.04.02	04:00:00	1287.303	1289.480	1285.247	1286.277	8489	0	228
2019.04.02	08:00:00	1286.276	1290.317	1285.870	1288.833	9502	0	226
2019.04.02	12:00:00	1288.835	1291.829	1287.560	1289.798	12158	0	228
2019.04.02	16:00:00	1289.789	1291.910	1288.904	1291.490	9230	0	226
2019.04.02	20:00:00	1291.511	1292.826	1291.397	1291.736	3220	0	227
2019.04.03	00:00:00	1291.734	1293.244	1290.167	1292.583	6509	0	226
2019.04.03	04:00:00	1292.583	1293.667	1290.530	1291.445	7662	0	225
2019.04.03	08:00:00	1291.416	1294.476	1291.184	1293.013	8957	0	222
2019.04.03	12:00:00	1293.008	1294.263	1288.390	1290.233	13073	0	222
2019.04.03	16:00:00	1290.234	1291.923	1289.783	1289.950	9118	0	201
2019.04.03	20:00:00	1289.977	1291.980	1289.611	1291.814	3257	0	202
2019.04.04	00:00:00	1291.813	1292.464	1290.317	1292.376	5711	0	201
2019.04.04	04:00:00	1292.386	1293.495	1291.986	1292.739	6976	0	199
2019.04.04	08:00:00	1292.739	1292.746	1288.592	1289.062	9369	0	199
2019.04.04	12:00:00	1289.076	1289.479	1280.894	1287.779	14537	0	198
2019.04.04	16:00:00	1287.778	1294.318	1287.557	1293.113	9365	0	236
2019.04.04	20:00:00	1293.117	1293.544	1292.078	1292.117	3411	0	238
2019.04.05	00:00:00	1292.125	1292.221	1287.472	1287.898	5941	0	237
2019.04.05	04:00:00	1287.889	1290.803	1287.110	1290.199	7766	0	236
2019.04.05	08:00:00	1290.227	1290.697	1286.983	1287.598	9274	0	233
