<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.01	1687.443	1764.715	1670.131	1739.611	1817400	0	364
2020.06.01	1739.507	1785.729	1670.510	1782.721	1968190	0	286
2020.07.01	1782.729	1982.318	1757.464	1974.958	2091847	0	260
2020.08.01	1982.988	2073.682	1863.593	1967.705	2932085	0	300
2020.09.01	1967.778	1992.297	1848.076	1887.634	2269258	0	200
2020.10.01	1887.621	1933.178	1859.815	1878.858	1869683	0	300
2020.11.01	1879.301	1965.419	1764.160	1778.707	1828387	0	200
2020.12.01	1778.729	1906.667	1776.740	1894.387	1831529	0	200
2021.01.01	1909.308	1959.290	1802.438	1855.826	1986678	0	0
2021.02.01	1855.772	1871.716	1717.030	1739.239	2010888	0	200
2021.03.01	1739.206	1759.715	1676.627	1707.403	2768802	0	200
2021.04.01	1707.405	1797.756	1705.761	1768.776	2168902	0	200
2021.05.01	1767.058	1912.616	1766.046	1907.978	1906681	0	200
2021.06.01	1907.987	1916.446	1750.621	1768.131	2045603	0	200
2021.07.01	1768.132	1834.039	1765.633	1813.934	1689109	0	200
2021.08.01	1814.431	1831.657	1686.694	1814.435	1690761	0	200
2021.09.01	1814.426	1833.859	1721.571	1753.039	1708483	0	200
2021.10.01	1753.006	1813.560	1745.822	1780.020	1819901	0	200
2021.11.01	1779.988	1877.067	1758.534	1773.206	2065636	0	200
2021.12.01	1773.209	1828.722	1753.053	1827.615	1686392	0	200
2022.01.01	1830.615	1853.785	1780.165	1797.738	1768473	0	200
2022.02.01	1797.736	1974.331	1788.521	1906.268	2110148	0	200
2022.03.01	1906.236	2070.292	1890.113	1936.702	3436491	0	200
2022.04.01	1936.704	1998.178	1871.900	1896.720	2248446	0	200
2022.05.01	1899.389	1909.551	1786.381	1836.404	2288497	0	200
2022.06.01	1836.437	1878.832	1802.627	1806.548	2165598	0	200
2022.07.01	1806.552	1814.091	1680.811	1762.141	2064965	0	200
2022.08.01	1762.172	1807.831	1705.480	1708.952	1997030	0	200
2022.09.01	1708.919	1735.081	1614.427	1660.963	2383916	0	200
2022.10.01	1664.009	1729.469	1616.856	1632.419	2479511	0	200
2022.11.01	1632.452	1786.472	1616.624	1773.332	2481411	0	200
2022.12.01	1773.354	1833.269	1765.756	1823.510	2140278	0	200
2023.01.01	1826.216	1949.116	1823.998	1927.336	2294612	0	200
2023.02.01	1927.329	1959.639	1804.393	1825.551	2250295	0	0
2023.03.01	1825.552	2009.668	1809.372	1969.376	3059570	0	200
2023.04.01	1966.275	2048.597	1949.542	1986.895	2165978	0	200
2023.05.01	1986.927	2079.817	1932.042	1966.244	2564768	0	200
2023.06.01	1966.275	1983.332	1892.900	1919.333	2099756	0	200
2023.07.01	1918.552	1987.421	1902.568	1963.907	1875737	0	200
2023.08.01	1963.876	1964.628	1884.547	1939.824	1843594	0	200
2023.09.01	1939.828	1952.801	1846.282	1848.796	1546827	0	200
2023.10.01	1847.284	2009.327	1810.402	1983.668	2208408	0	200
2023.11.01	1983.670	2052.027	1921.370	2039.918	1994537	0	199
2023.12.01	2040.075	2144.501	1973.033	2062.838	2236162	0	199
2024.01.01	2064.593	2078.877	2001.763	2039.786	2348757	0	199
2024.02.01	2039.897	2065.458	1984.121	2043.981	1854757	0	199
2024.03.01	2044.228	2247.301	2039.039	2244.927	2288139	0	199
2024.04.01	2245.957	2431.527	2228.457	2291.244	4224802	0	199
2024.05.01	2291.256	2450.026	2277.089	2327.192	3441066	0	199
2024.06.01	2328.496	2387.702	2286.723	2324.930	2647122	0	199
2024.07.01	2324.952	2483.739	2318.438	2445.743	3233738	0	162
2024.08.01	2445.725	2531.668	2364.267	2503.342	3950087	0	159
2024.09.01	2502.485	2685.611	2471.868	2635.634	3907559	0	159
